date,lower,upper
2024-01-02,30,55
2024-01-03,50,55
2024-01-04,50,55
2024-01-05,65,70
2024-01-06,70,75
2024-01-08,75,80
2024-01-09,75,80
2024-01-10,65,75
2024-01-11,40,50
2024-01-12,50,60
2024-01-13,50,55
2024-01-15,18,40
2024-01-16,35,47
2024-01-17,30,47
2024-01-18,30,47
2024-01-19,40,45
2024-01-20,40,45
2024-01-22,40,45
2024-01-23,40,45
2024-01-24,40,45
2024-01-25,30,48
2024-01-26,17,45
2024-01-30,35,45
2024-01-31,40,45
2024-02-01,30,48
2024-02-02,30,48
2024-02-03,30,48
2024-02-05,20,35
2024-02-06,40,45
2024-02-07,45,50
2024-02-08,40,40
2024-02-12,40,45
2024-02-13,25,40
2024-02-14,35,40
2024-02-15,35,40
2024-02-16,40,45
2024-02-17,45,50
2024-02-20,45,50
2024-02-21,45,50
2024-02-22,45,50
2024-02-23,30,50
2024-02-24,30,50
2024-02-26,15,50
2024-02-27,40,65
2024-02-28,40,40
2024-02-29,30,50
2024-03-01,30,50
2024-03-02,60,65
2024-03-04,40,50
2024-03-05,18,50
2024-03-06,10,40
2024-03-07,10,40
2024-03-08,30,35
2024-03-09,25,30
2024-03-11,30,35
2024-03-12,25,30
2024-03-13,17,23
2024-03-14,5,25
2024-03-15,10,23
2024-03-18,10,20
2024-03-19,10,20
2024-03-20,20,25
2024-03-21,16,32
2024-03-22,16,32
2024-03-23,18,28
2024-03-25,30,35
2024-03-26,35,40
2024-03-27,35,40
2024-03-28,20,40
2024-03-29,20,40
2024-04-01,65,67
2024-04-02,50,60
2024-04-03,45,50
2024-04-04,45,50
2024-04-05,25,50
2024-04-08,25,50
2024-04-09,50,55
2024-04-10,50,60
2024-04-11,30,70
2024-04-12,35,45
2024-04-15,35,45
2024-04-16,50,55
2024-04-17,55,60
2024-04-18,55,60
2024-04-26,40,50
2024-04-29,50,55
2024-04-30,50,55
2024-05-03,30,40
2024-05-06,30,35
2024-05-07,30,30
2024-05-08,30,35
2024-05-09,30,35
2024-05-10,30,35
2024-05-11,35,40
2024-05-13,35,40
2024-05-14,30,35
2024-05-15,20,45
2024-05-16,20,45
2024-05-17,22,30
2024-05-18,45,50
2024-05-20,35,40
2024-05-21,45,50
2024-05-22,45,50
2024-05-23,25,50
2024-05-24,50,55
2024-05-25,30,55
2024-05-27,60,65
2024-05-29,40,50
2024-05-30,25,50
2024-05-31,55,60
2024-06-01,40,50
2024-06-04,55,60
2024-06-05,55,60
2024-06-06,55,60
2024-06-07,55,60
2024-06-08,40,50
2024-06-10,30,50
2024-06-11,40,50
2024-06-12,55,60
2024-06-13,30,55
2024-06-14,60,70
2024-06-17,60,68
2024-06-18,65,70
2024-06-19,60,65
2024-06-20,40,60
2024-06-21,65,70
2024-06-22,65,70
2024-06-24,20,70
2024-06-25,60,65
2024-06-27,60,65
2024-06-28,40,50
2024-06-29,40,50
2024-07-01,50,55
2024-07-02,40,60
2024-07-03,55,60
2024-07-04,55,60
2024-07-05,50,70
2024-07-06,60,65
2024-07-08,60,65
2024-07-09,50,60
2024-07-10,50,60
2024-07-11,65,70
2024-07-12,65,70
2024-07-13,65,70
2024-07-17,38,70
2024-07-18,70,75
2024-07-19,60,65
2024-07-23,75,80
2024-07-24,60,70
2024-07-25,60,70
2024-07-26,60,70
2024-07-27,60,70
2024-07-29,80,90
2024-07-30,80,90
2024-07-31,90,100
2024-08-01,80,90
2024-08-02,90,100
2024-08-05,90,100
2024-08-06,90,100
2024-08-07,90,100
2024-08-08,92,100
2024-08-09,90,100
2024-08-14,90,100
2024-08-16,90,100
2024-08-17,90,100
2024-08-20,90,100
2024-10-01,40,120
2024-10-19,90,90
2024-10-21,40,100
2024-10-22,90,100
2024-10-25,40,50
2024-10-26,60,60
2024-10-28,40,50
2024-10-29,65,65
2024-10-30,45,50
2024-10-31,45,50
2024-11-01,70,70
2024-11-04,58,60
2024-11-05,50,50
2024-11-06,50,60
2024-11-07,50,60
2024-11-08,50,60
2024-11-09,50,50
2024-11-12,50,60
2024-11-13,50,60
2024-11-14,50,60
2024-11-15,30,90
2024-11-16,55,60
2024-11-19,30,50
2024-11-20,50,60
2024-11-21,70,70
2024-11-26,50,90
2024-11-28,70,80
2024-11-29,70,80
2024-11-30,70,80
2024-12-02,30,70
2024-12-03,30,75
2024-12-07,40,75
2024-12-09,70,75
2024-12-10,40,70
2024-12-11,70,75
2024-12-12,70,75
2024-12-13,70,75
2024-12-16,60,65
2024-12-18,40,60
2024-12-19,40,60
2024-12-21,60,70
2024-12-23,60,65
2024-12-24,20,60
2024-12-25,20,60
2024-12-26,50,55
2024-12-27,45,50
2024-12-28,40,45
2024-12-30,55,55
2025-01-02,40,45
2025-01-04,20,33
2025-01-06,45,50
2025-01-07,30,45
2025-01-08,28,55
2025-01-09,40,50
2025-01-10,40,50
2025-01-11,50,55
2025-01-13,15,35
2025-01-14,35,40
2025-01-15,20,45
2025-01-16,20,45
2025-01-17,15,50
2025-01-18,15,45
2025-01-20,35,40
2025-01-21,45,50
2025-01-22,40,45
2025-01-23,40,45
2025-01-24,35,45
2025-01-25,45,45
2025-01-27,70,70
2025-01-30,50,55
2025-02-01,55,60
2025-02-04,60,60
2025-02-05,65,70
2025-02-06,65,70
2025-02-07,60,65
2025-02-08,40,43
2025-02-10,20,55
2025-02-11,20,55
2025-02-12,20,55
2025-02-13,60,65
2025-02-14,20,60
2025-02-15,15,50
2025-02-17,55,60
2025-02-18,45,50
2025-02-19,45,45
2025-02-20,55,60
2025-02-21,30,35
2025-02-22,30,40
2025-02-24,25,30
2025-02-25,5,25
2025-02-26,10,25
2025-02-27,20,25
2025-03-01,8,25
2025-03-03,24,25
2025-03-04,25,30
2025-03-05,25,33
2025-03-06,25,30
2025-03-07,5,32
2025-03-08,10,32
2025-03-10,10,32
2025-03-11,10,32
2025-03-12,8,45
2025-03-13,40,45
2025-03-14,30,35
2025-03-15,30,40
2025-03-17,40,45
2025-03-18,40,45
2025-03-19,40,45
2025-03-20,40,45
2025-03-21,10,45
2025-03-22,18,45
2025-03-24,10,50
2025-03-25,7,45
2025-03-26,7,43
2025-03-27,7,45
2025-03-28,7,45
2025-03-29,40,45
2025-03-31,50,55
2025-04-01,50,55
2025-04-02,50,55
2025-04-03,50,55
2025-04-04,50,55
2025-04-05,18,60
2025-04-07,10,30
2025-04-08,10,55
2025-04-09,15,26
2025-04-10,40,45
2025-04-11,25,30
2025-04-12,30,40
2025-04-15,30,30
2025-04-16,35,40
2025-04-17,35,40
2025-04-18,35,40
2025-04-19,35,40
2025-04-21,35,40
2025-04-22,45,50
2025-04-23,40,45
2025-04-25,15,60
2025-04-28,45,50
2025-05-02,55,60
2025-05-08,55,60
2025-05-23,60,65
2025-05-24,20,60
2025-05-26,75,80
2025-05-27,60,60
2025-05-29,60,65
2025-05-30,18,55
2025-05-31,60,65
2025-06-02,60,65
2025-06-04,50,60
2025-06-06,10,50
2025-06-07,10,50
2025-06-09,30,50
2025-06-10,50,55
2025-06-11,45,50
2025-06-12,45,50
2025-06-13,40,45
2025-06-16,45,50
2025-06-17,45,50
2025-06-18,45,50
2025-06-19,45,50
2025-06-20,40,45
2025-06-21,40,45
2025-06-23,45,50
2025-06-25,45,50
2025-06-26,40,45
2025-06-27,45,50
2025-06-28,45,50
2025-07-01,15,40
2025-07-02,50,60
2025-07-03,60,65
2025-07-04,60,65
2025-07-09,55,60
2025-07-11,55,60
2025-07-14,25,25
2025-07-16,65,70
2025-07-17,65,70
2025-07-21,65,70
2025-07-24,65,70
2025-08-07,70,75
2025-08-08,50,70
2025-08-09,30,65
2025-08-14,75,100
2025-08-16,30,90
2025-09-04,80,90
2025-09-05,80,90
2025-09-08,32,32
2025-09-09,80,90
2025-09-16,90,95
2025-09-19,90,90
2025-09-20,90,90
2025-09-22,80,90
2025-09-23,80,90
2025-09-24,80,90
2025-09-25,80,90
2025-10-09,60,60
2025-10-17,80,90
2025-10-20,30,85
2025-10-21,30,35
2025-10-22,60,60
2025-10-24,50,60
2025-10-25,50,60
2025-10-27,50,60
2025-10-28,45,50
2025-10-29,45,50
2025-10-30,45,50
2025-10-31,30,60
2025-11-01,45,50
2025-11-18,30,60
2025-11-19,90,95
2025-11-20,90,95
2025-11-21,30,80
2025-11-24,50,50
2025-11-25,50,55
2025-11-26,50,60
2025-11-27,50,60
2025-11-28,28,30
2025-11-29,50,55
2025-12-01,58,65
2025-12-06,75,80
2025-12-08,60,60
2025-12-09,40,70
2025-12-10,50,60
2025-12-12,45,90
2025-12-13,45,60
2025-12-15,65,65
2025-12-16,50,60
2025-12-17,50,60
2025-12-18,50,60
2025-12-19,50,60
2025-12-22,50,50
2025-12-24,50,60
2025-12-26,27,40
2025-12-29,45,50
2025-12-30,40,50
